기간,행정구역,직업유형,합계,남자,여자
2015 ,합계,소계,4704568 ,2676084 ,2028484 
2015 ,합계,관리자,124924 ,99201 ,25723 
2015 ,합계,전문가 및 관련종사자,1288705 ,685551 ,603154 
2015 ,합계,사무종사자,979576 ,498566 ,481010 
2015 ,합계,서비스종사자,503786 ,206182 ,297604 
2015 ,합계,판매종사자,661439 ,359632 ,301807 
2015 ,합계,농림어업 숙련 종사자,6284 ,4457 ,1827 
2015 ,합계,기능원 및 관련기능종사자,394439 ,300210 ,94229 
2015 ,합계,장치기계조작 및 조립종사자,283597 ,248533 ,35064 
2015 ,합계,단순노무종사자,452881 ,265282 ,187599 
2015 ,합계,기타,8937 ,8470 ,467 
2015 ,종로구,소계,72265 ,39675 ,32590 
2015 ,종로구,관리자,1687 ,1323 ,364 
2015 ,종로구,전문가 및 관련종사자,18433 ,9277 ,9156 
2015 ,종로구,사무종사자,14768 ,7645 ,7123 
2015 ,종로구,서비스종사자,8377 ,3681 ,4696 
2015 ,종로구,판매종사자,11196 ,6052 ,5144 
2015 ,종로구,농림어업 숙련 종사자,98 ,79 ,19 
2015 ,종로구,기능원 및 관련기능종사자,7882 ,5037 ,2845 
2015 ,종로구,장치기계조작 및 조립종사자,2536 ,2206 ,330 
2015 ,종로구,단순노무종사자,6978 ,4066 ,2912 
2015 ,종로구,기타,310 ,309 ,1 
2015 ,중구,소계,59861 ,33744 ,26117 
2015 ,중구,관리자,1163 ,866 ,297 
2015 ,중구,전문가 및 관련종사자,13541 ,7128 ,6413 
2015 ,중구,사무종사자,10866 ,5678 ,5188 
2015 ,중구,서비스종사자,6639 ,2968 ,3671 
2015 ,중구,판매종사자,11824 ,6535 ,5289 
2015 ,중구,농림어업 숙련 종사자,38 ,18 ,20 
2015 ,중구,기능원 및 관련기능종사자,6206 ,4077 ,2129 
2015 ,중구,장치기계조작 및 조립종사자,3424 ,2900 ,524 
2015 ,중구,단순노무종사자,6114 ,3536 ,2578 
2015 ,중구,기타,46 ,38 ,8 
2015 ,용산구,소계,106678 ,59924 ,46754 
2015 ,용산구,관리자,4409 ,3317 ,1092 
2015 ,용산구,전문가 및 관련종사자,30210 ,16387 ,13823 
2015 ,용산구,사무종사자,20575 ,10502 ,10073 
2015 ,용산구,서비스종사자,13220 ,5514 ,7706 
2015 ,용산구,판매종사자,14619 ,8068 ,6551 
2015 ,용산구,농림어업 숙련 종사자,71 ,50 ,21 
2015 ,용산구,기능원 및 관련기능종사자,7811 ,5567 ,2244 
2015 ,용산구,장치기계조작 및 조립종사자,4693 ,3981 ,712 
2015 ,용산구,단순노무종사자,10382 ,5896 ,4486 
2015 ,용산구,기타,688 ,642 ,46 
2015 ,성동구,소계,144719 ,82253 ,62466 
2015 ,성동구,관리자,5663 ,4192 ,1471 
2015 ,성동구,전문가 및 관련종사자,38187 ,20772 ,17415 
2015 ,성동구,사무종사자,27762 ,13865 ,13897 
2015 ,성동구,서비스종사자,15016 ,6173 ,8843 
2015 ,성동구,판매종사자,19473 ,10511 ,8962 
2015 ,성동구,농림어업 숙련 종사자,118 ,81 ,37 
2015 ,성동구,기능원 및 관련기능종사자,14451 ,10172 ,4279 
2015 ,성동구,장치기계조작 및 조립종사자,9301 ,7786 ,1515 
2015 ,성동구,단순노무종사자,14714 ,8672 ,6042 
2015 ,성동구,기타,34 ,29 ,5 
2015 ,광진구,소계,181481 ,100712 ,80769 
2015 ,광진구,관리자,4807 ,3851 ,956 
2015 ,광진구,전문가 및 관련종사자,49051 ,25477 ,23574 
2015 ,광진구,사무종사자,34033 ,15680 ,18353 
2015 ,광진구,서비스종사자,21340 ,8897 ,12443 
2015 ,광진구,판매종사자,25678 ,13756 ,11922 
2015 ,광진구,농림어업 숙련 종사자,223 ,152 ,71 
2015 ,광진구,기능원 및 관련기능종사자,16830 ,12249 ,4581 
2015 ,광진구,장치기계조작 및 조립종사자,10557 ,9042 ,1515 
2015 ,광진구,단순노무종사자,18887 ,11533 ,7354 
2015 ,광진구,기타,75 ,75 ,-
2015 ,동대문구,소계,167533 ,95613 ,71920 
2015 ,동대문구,관리자,2766 ,2270 ,496 
2015 ,동대문구,전문가 및 관련종사자,38144 ,19833 ,18311 
2015 ,동대문구,사무종사자,32836 ,16603 ,16233 
2015 ,동대문구,서비스종사자,18867 ,7572 ,11295 
2015 ,동대문구,판매종사자,29106 ,16588 ,12518 
2015 ,동대문구,농림어업 숙련 종사자,164 ,105 ,59 
2015 ,동대문구,기능원 및 관련기능종사자,17932 ,12979 ,4953 
2015 ,동대문구,장치기계조작 및 조립종사자,9923 ,8608 ,1315 
2015 ,동대문구,단순노무종사자,17706 ,10974 ,6732 
2015 ,동대문구,기타,89 ,81 ,8 
2015 ,중랑구,소계,201743 ,116003 ,85740 
2015 ,중랑구,관리자,3080 ,2464 ,616 
2015 ,중랑구,전문가 및 관련종사자,40892 ,20623 ,20269 
2015 ,중랑구,사무종사자,32250 ,15310 ,16940 
2015 ,중랑구,서비스종사자,22351 ,8950 ,13401 
2015 ,중랑구,판매종사자,31084 ,16740 ,14344 
2015 ,중랑구,농림어업 숙련 종사자,303 ,228 ,75 
2015 ,중랑구,기능원 및 관련기능종사자,29460 ,21087 ,8373 
2015 ,중랑구,장치기계조작 및 조립종사자,16418 ,14612 ,1806 
2015 ,중랑구,단순노무종사자,25765 ,15856 ,9909 
2015 ,중랑구,기타,140 ,133 ,7 
2015 ,성북구,소계,210715 ,119363 ,91352 
2015 ,성북구,관리자,6558 ,5158 ,1400 
2015 ,성북구,전문가 및 관련종사자,51547 ,26436 ,25111 
2015 ,성북구,사무종사자,41542 ,20868 ,20674 
